Name,Ball Control,Dribbling,Marking,Slide Tackle,Stand Tackle,Aggression,Reactions,Att. Position,Interceptions,Vision,Composure,Crossing,Short Pass,Long Pass,Acceleration,Stamina,Strength,Balance,Sprint Speed,Agility,Jumping,Heading,Shot Power,Finishing,Long Shots,Curve,FK Acc.,Penalties,Volleys,Overall Rating
Vitinha,69,71,19,15,22,74,72,72,36,52,55,58,62,59,73,63,71,70,71,65,73,68,73,70,64,42,40,65,60,70
Léo Ceará,69,67,15,13,15,51,61,72,18,68,70,46,56,46,68,58,75,64,66,58,65,65,78,75,73,66,72,72,70,70
Mohamed-Ali Cho,74,81,23,20,22,33,65,69,21,60,63,61,69,45,85,62,64,68,82,73,62,65,70,70,65,43,50,64,52,70
El Bilal Touré,70,69,19,19,14,49,64,69,17,61,66,54,65,42,72,64,73,65,74,68,65,65,73,74,63,54,46,71,58,70
Ignacio Ramírez,62,55,25,17,16,43,70,72,17,47,52,38,66,46,67,51,75,69,68,70,77,72,75,76,63,38,45,77,66,70
Sergio Castel,66,65,20,16,11,67,63,67,23,46,58,38,65,39,64,61,85,50,59,61,75,72,76,75,67,46,45,62,65,70
Ayase Ueda,65,64,22,22,22,53,62,73,23,55,60,47,53,48,81,71,72,59,82,71,80,67,71,76,66,62,63,62,60,70
Fábio Silva,74,73,22,16,23,54,73,72,18,58,63,45,54,46,72,64,73,65,76,72,72,62,72,72,64,52,31,70,70,70
Luis Vázquez,69,65,26,16,17,55,68,75,22,65,71,52,68,58,69,77,72,65,68,73,75,75,70,72,65,60,42,67,52,70
Tshegofatso Mabasa,68,68,14,23,25,46,58,75,15,65,68,49,51,33,75,72,65,61,73,65,70,73,69,78,62,52,34,61,67,70
Dejan Joveljić,72,71,22,29,31,59,71,72,28,66,67,59,67,60,73,72,70,70,72,77,71,65,70,72,64,65,39,74,68,70
Ugo Bonnet,67,65,29,21,23,52,65,73,26,61,68,43,63,39,70,80,75,67,75,69,78,66,71,73,68,44,48,69,65,70
Federico Girotti,66,65,30,34,35,59,65,73,28,56,71,47,62,61,66,62,83,52,72,69,72,73,72,74,59,55,51,70,67,70
Makhtar Gueye,65,65,26,21,24,72,66,71,25,55,64,54,61,54,55,74,90,32,69,47,55,73,76,70,68,47,38,82,68,70
Luciano Pons,62,61,16,20,18,55,75,73,15,49,63,34,61,55,60,63,78,62,62,63,66,75,70,77,70,41,41,74,63,70
Emil Riis,68,69,21,26,25,61,68,71,24,60,61,42,59,49,68,74,79,58,84,63,55,65,73,70,68,44,57,62,64,70
Luca Pfeiffer,66,61,26,19,38,65,70,75,22,41,65,42,62,34,40,69,92,33,62,41,63,75,73,74,49,51,39,57,69,70
Moussa Djitté,71,73,33,16,14,48,65,71,29,60,61,56,66,38,81,79,73,76,82,87,82,64,68,70,62,46,29,65,61,70
Ibrahim Sissoko,69,67,41,22,24,45,58,69,15,53,67,40,64,47,69,70,80,39,74,56,71,68,74,72,71,57,63,73,68,70
Francisco Apaolaza,67,60,32,22,30,46,67,72,35,64,69,39,63,51,70,67,72,52,68,68,79,73,74,72,70,40,33,65,59,70
Carlos Garcés,65,62,29,23,25,51,63,70,28,55,54,40,60,47,63,75,93,69,67,64,81,76,72,75,65,41,55,76,70,70
Brenner,73,76,29,22,26,35,66,74,22,62,68,53,71,55,74,63,51,75,79,76,62,67,63,73,65,51,60,66,64,70
Danilo,74,72,21,13,16,51,63,69,15,65,69,44,66,44,75,72,65,80,77,76,77,67,68,76,66,68,62,66,67,70
Kaveh Rezaei,67,65,33,13,18,58,71,74,18,71,71,67,70,50,65,69,72,63,68,64,73,75,74,69,68,68,70,79,66,70
Adrian Grbic,70,65,35,17,31,59,67,72,20,52,70,52,58,42,68,72,81,63,74,66,54,71,74,71,73,58,74,82,67,70
Claudio Spinelli,73,68,28,19,17,31,65,74,17,57,66,51,66,52,70,63,74,53,67,69,74,68,69,74,59,47,34,52,62,70
Lebo Mothiba,71,71,32,12,15,55,65,71,24,61,73,54,66,53,69,64,71,66,68,61,67,70,71,73,69,59,51,68,69,70
Ado Onaiwu,68,64,32,36,37,67,66,72,34,61,58,34,63,57,86,66,74,63,85,65,88,64,72,71,68,50,51,60,64,70
Aaron Connolly,72,69,12,15,18,68,72,72,16,47,63,40,65,42,78,67,61,76,73,77,72,65,73,70,69,32,43,61,67,70
Nicolás Reniero,70,69,45,19,17,41,67,70,23,58,59,53,64,60,76,70,79,64,76,71,80,65,76,70,64,55,51,62,63,70
Marc Cardona,71,70,28,12,17,50,72,72,24,58,66,57,68,51,76,61,65,60,74,71,62,72,69,68,67,60,52,63,68,70
Túlio Sandoiro,75,74,18,36,33,60,73,65,37,66,71,57,64,58,66,65,79,57,62,67,64,66,73,71,70,67,68,70,75,70
Andreas Albers,70,59,35,16,16,38,60,75,21,45,54,28,60,40,60,75,88,46,65,52,73,78,68,74,60,30,26,58,54,70
Phillip Tietz,69,64,26,23,36,60,66,74,25,58,70,37,63,50,61,71,82,55,71,63,71,69,69,74,66,29,25,68,53,70
Leonardo Ruiz,72,70,19,15,16,54,70,71,19,58,66,54,62,46,69,63,66,62,73,73,64,68,74,69,68,74,46,66,68,70
Nuno da Costa,72,70,15,20,17,48,67,73,37,67,64,60,68,54,77,65,62,74,78,80,80,74,73,67,66,52,52,69,61,70
Edardynho Neto,70,78,19,21,16,32,64,64,20,42,50,47,58,44,81,57,66,65,77,72,60,67,78,73,74,60,37,67,59,70
Arthur Silbeira,66,75,14,30,33,52,69,62,23,60,73,58,66,42,65,35,72,68,63,42,65,75,71,74,77,59,53,75,64,70
Cristian Lodeira,72,75,17,26,26,40,77,74,37,54,70,66,62,44,77,65,49,85,78,90,70,65,72,70,65,40,65,65,68,70
Jhonder Cádiz,69,72,25,24,31,72,71,70,24,55,72,46,64,44,59,75,79,48,65,61,56,73,73,72,56,38,26,70,67,70
Ryan Mmaee,68,74,26,22,21,52,63,72,24,56,73,48,63,41,78,54,70,65,74,73,80,70,65,74,59,55,28,67,56,70
Maximiliano Romero,67,63,25,25,27,63,67,70,29,53,59,45,55,43,74,70,72,60,75,67,81,69,79,72,65,41,46,59,75,70
Felix Platte,67,62,18,17,21,63,67,71,22,57,63,38,63,50,66,61,86,58,86,56,69,70,71,70,60,61,33,55,68,70
Kevin Nisbet,67,65,30,32,34,66,71,73,45,68,69,53,66,62,74,75,73,75,71,74,71,65,72,73,66,64,65,67,67,70
Leonardo Ramos,68,65,40,22,21,77,64,72,21,57,70,37,65,48,67,66,85,57,64,71,75,74,70,73,69,51,60,70,75,70
Alexandre Mendy,65,62,16,17,17,58,68,73,29,52,65,33,64,42,69,70,90,54,70,66,80,68,76,73,64,60,50,68,62,70
Famara Diédhiou,69,67,37,16,22,61,65,72,22,50,64,33,58,42,54,59,86,58,66,60,67,76,74,72,58,53,39,74,63,70
Lys Mousset,70,73,19,17,20,44,67,69,22,56,62,54,61,44,78,68,76,68,79,72,67,63,76,71,69,62,42,70,66,70
Oli McBurnie,73,67,32,20,29,77,70,71,28,66,68,40,69,55,54,69,79,54,55,55,77,74,77,70,58,42,33,65,71,70
Rolando Blackburn,65,71,25,18,19,31,70,70,14,42,68,35,55,31,64,59,70,66,65,55,72,75,68,78,65,55,68,70,70,70
Adrien Hunou,71,69,44,46,48,69,72,71,45,61,70,65,71,61,75,70,69,73,74,74,66,66,70,68,66,68,62,71,72,70
Juan Caicedo,63,59,40,23,24,43,70,76,20,64,70,54,64,37,63,50,85,48,70,65,71,70,66,75,58,53,60,70,65,70
Francesco Forte,70,66,31,20,23,68,72,76,33,59,73,58,70,62,54,66,74,66,54,62,61,72,71,75,66,55,29,76,57,70
Sebastián Sáez,68,68,28,14,15,67,68,75,18,48,68,43,62,42,64,56,78,58,68,67,65,71,69,71,60,52,58,75,65,70
Adis Jahović,66,63,41,19,25,78,65,74,20,48,68,36,64,43,64,55,87,47,65,60,63,75,77,71,65,51,46,78,67,70
Robert Berić,70,65,38,23,30,65,74,74,38,69,71,52,65,65,60,70,80,52,55,58,73,71,73,72,67,65,56,71,69,70
Moussa Konaté,70,68,12,15,17,37,69,71,24,56,62,60,62,38,69,68,76,69,82,73,91,76,71,69,57,46,55,78,65,70
Lars Veldwijk,69,61,41,22,21,61,61,73,19,56,70,40,65,37,49,63,90,35,57,43,73,77,74,73,60,47,37,70,68,70
Ivan Santini,64,59,37,25,35,83,70,76,40,64,65,33,63,44,45,80,89,41,34,41,60,79,80,75,71,39,66,74,74,70
Kalifa Coulibaly,68,66,18,23,24,69,69,71,22,61,69,62,68,50,59,68,89,30,79,27,40,71,74,69,61,46,41,69,68,70
Jefté,70,66,24,20,37,60,68,73,23,64,71,54,66,58,67,72,76,69,71,70,75,68,69,73,63,62,51,71,67,70
José Carrillo Gano,66,64,34,16,29,58,69,71,28,57,69,56,63,37,55,67,88,33,61,48,65,79,72,71,65,46,48,67,66,70
Gaëtan Courtet,67,65,19,16,19,54,63,74,31,63,68,64,67,50,65,73,73,75,65,74,82,69,74,73,76,59,65,66,61,70
Christoffer Nyman,64,66,40,30,41,81,71,71,36,68,67,51,65,45,80,80,80,62,81,70,80,69,69,71,64,54,47,72,70,70
Liam Boyce,71,64,33,19,24,73,62,70,34,64,72,43,67,54,67,73,81,68,68,78,74,66,72,75,67,58,55,71,55,70
Andrea La Mantia,69,66,19,18,28,72,69,73,29,28,62,35,55,22,53,71,86,33,54,48,85,80,73,75,54,32,30,65,66,70
Jonson Clarke-Harris,66,64,27,13,17,72,67,69,30,58,66,45,61,43,76,68,86,66,78,69,74,67,79,70,67,58,64,73,66,70
Roberto Inglese,71,68,30,12,13,40,70,75,19,42,70,39,65,35,43,57,75,51,58,53,76,83,71,70,68,67,36,70,69,70
Charlie Austin,71,62,20,22,37,66,70,75,44,58,75,56,60,46,47,48,80,52,49,61,74,77,80,73,65,59,49,81,72,70
Kamil Wilczek,69,67,26,25,39,76,70,73,50,66,69,60,66,62,61,66,83,65,55,61,76,71,76,71,64,54,43,65,67,70
Mustapha De Préville,69,67,44,12,15,68,66,70,21,62,60,59,63,57,63,70,81,50,63,62,74,75,79,72,69,52,50,67,60,70
Jakob Jantscher,69,67,40,25,31,42,68,74,35,71,69,71,70,68,67,72,64,70,65,70,51,65,74,71,70,72,70,67,73,70
Matt Godden,69,63,24,21,26,61,73,76,37,58,70,42,62,47,61,70,68,77,58,67,82,72,72,74,65,58,59,74,71,70
Lewis Grabban,68,66,29,24,27,55,69,79,22,56,70,62,63,46,58,67,74,69,60,64,47,72,73,72,64,66,60,67,73,70
Louis Mafouta,66,65,23,24,26,41,59,71,25,54,66,42,59,39,74,66,69,66,75,66,69,69,74,71,68,51,50,66,61,69
Milton Giménez,65,58,19,25,25,77,69,70,25,48,59,26,54,34,63,70,79,74,65,46,70,75,79,72,67,58,60,77,67,69
Matías Cóccaro,71,61,20,25,26,44,65,69,27,38,61,22,66,26,62,61,72,59,59,56,65,71,67,76,65,39,48,65,67,69
Matthew Hoppe,65,68,22,18,22,41,72,74,16,53,60,36,61,52,78,65,65,62,75,68,58,60,72,72,62,76,43,55,64,69
Mirko Marić,63,69,27,19,23,54,66,72,19,58,64,45,62,29,70,64,81,44,71,49,68,68,71,70,70,39,50,72,59,69
Fotis Ioannidis,67,65,13,24,23,44,61,70,19,55,61,39,60,53,70,66,78,62,68,67,73,70,73,71,67,64,32,63,58,69
Júnior Santos,69,70,21,21,23,56,64,67,22,54,74,53,60,38,56,57,91,35,81,64,61,66,78,67,63,43,51,61,59,69
Róbert Boženík,69,67,32,25,27,69,67,70,24,65,65,56,65,61,72,74,76,64,77,68,65,65,72,70,67,59,45,64,64,69
Bruno Duarte,70,66,15,24,27,55,68,69,20,62,62,59,66,54,69,70,72,67,69,69,64,73,69,70,62,60,42,63,66,69
Kelvin Jung Seung Yong,66,70,19,17,21,50,72,71,20,66,64,53,58,48,91,73,70,68,91,79,91,58,69,69,58,56,40,68,57,69
Ricardo Pepi,69,65,34,24,30,32,71,74,41,52,67,25,65,57,67,75,70,56,65,62,65,69,70,74,53,59,51,66,62,69
Aké Loba,68,69,20,16,19,52,63,66,20,58,62,51,68,55,83,75,74,66,79,82,76,67,73,70,61,45,41,72,57,69
Sekou Gassama,63,62,30,23,26,58,65,73,26,53,51,38,56,35,62,70,86,42,63,59,80,78,74,72,62,40,44,75,65,69
Christian Kühlwetter,69,71,22,30,38,68,66,67,32,60,67,58,65,57,71,81,70,73,80,71,80,64,72,71,69,72,49,63,69,69
Hernán Rivero,63,52,31,22,18,58,62,73,21,47,63,27,42,29,59,64,81,42,63,52,86,81,74,77,64,51,57,71,73,69
Frantzdy Pierrot,67,64,26,21,24,61,57,68,18,54,65,42,62,37,59,65,92,32,68,51,70,68,80,70,64,31,48,60,61,69
Ross Stewart,67,63,20,23,20,60,67,70,23,60,58,44,63,54,77,84,77,50,73,55,55,74,68,71,64,61,51,67,60,69
Borja Garcés,70,69,28,24,27,52,67,68,26,49,58,37,64,38,64,41,51,69,61,66,62,68,74,75,70,46,50,72,67,69
Tomás Badaloni,68,60,31,21,15,42,67,72,23,56,55,44,58,43,57,63,82,53,62,58,76,74,77,68,67,45,39,66,55,69
Tomás Badaloni,68,60,31,21,15,42,67,72,23,56,55,44,58,43,57,63,82,53,62,58,76,74,77,68,67,45,39,66,55,69
Václav Drchal,67,65,23,26,20,72,64,73,22,47,60,44,61,49,78,64,79,57,77,72,67,72,63,68,59,53,55,60,65,69
Artem Dovbyk,62,64,32,13,19,64,68,72,19,39,56,39,67,36,73,63,77,70,74,58,70,73,73,68,59,54,35,60,57,69
Michael Obafemi,68,69,18,15,23,60,67,67,13,61,66,50,64,44,85,61,66,89,78,82,69,64,70,70,58,58,41,67,63,69
Augusto Lotti,73,70,19,26,23,45,64,70,19,60,63,49,64,41,71,67,70,68,80,72,58,67,70,70,66,55,34,66,53,69
Luis Amarilla,67,59,35,23,31,41,67,71,23,59,51,35,69,59,72,63,75,59,72,63,77,72,67,71,68,51,49,71,59,69
Nikolai Baden Frederiksen,71,71,27,12,16,45,68,74,17,62,66,59,63,55,76,72,66,75,73,72,71,56,69,74,66,65,67,62,69,69
Marko Raguž,70,72,14,16,20,57,69,73,21,62,64,52,64,56,67,58,74,60,69,71,64,64,69,69,58,58,52,65,66,69
Jørgen Strand Larsen,66,67,29,23,27,64,67,71,26,63,70,45,61,46,59,72,83,51,63,54,71,71,70,71,63,52,43,58,63,69
Rhian Brewster,69,72,14,17,18,51,71,70,15,56,62,50,61,50,79,64,62,76,79,77,67,58,71,73,67,47,58,61,70,69
Pierre-Yves Hamel,68,64,22,24,20,32,69,76,24,57,64,57,64,51,62,66,70,70,53,55,88,77,72,72,64,42,46,68,57,69
Ragnar Ache,65,63,31,22,19,53,66,66,17,43,64,33,60,32,80,66,77,70,78,67,88,78,72,67,58,44,32,60,56,69
Komnen Andrić,74,64,27,21,26,51,62,73,21,63,70,38,64,38,65,69,77,44,63,66,76,71,67,72,61,50,41,78,51,69
Takuma Nishimura,65,66,21,37,44,63,58,70,18,50,65,62,68,63,81,78,72,65,80,68,79,69,69,70,60,39,42,62,64,69
Daniel dos Anjos,69,68,17,18,15,57,72,70,18,47,59,41,58,50,63,64,63,60,67,57,63,68,69,74,61,54,42,71,64,69
Jarosław Niezgoda,68,67,37,30,31,41,66,70,21,58,70,30,62,48,77,64,71,60,80,72,75,66,72,73,65,49,33,72,47,69
José Angulo,65,68,26,28,25,57,66,69,29,65,69,51,66,46,76,60,65,72,75,74,74,68,72,70,60,57,51,66,65,69
Guruzeta,68,70,26,20,17,49,64,68,20,66,54,55,68,62,71,64,74,65,68,72,70,70,67,71,62,58,44,71,59,69
Pascal Köpke,70,69,42,18,21,47,66,69,23,54,60,65,67,49,78,67,65,79,74,74,78,67,74,70,64,59,46,65,65,69
Andrea Favilli,69,67,21,10,24,29,58,74,10,43,60,37,60,40,63,55,75,75,59,54,55,73,68,73,62,55,39,68,67,69
Agustín Fontana,69,73,44,12,20,56,65,72,23,62,67,45,66,50,79,68,72,74,73,79,73,68,70,69,57,49,50,65,62,69
Rubio Rubin,69,69,21,16,23,56,68,72,35,65,52,59,67,53,76,69,70,71,72,80,78,62,68,68,62,57,39,61,69,69
Andrés Chávez,64,68,25,28,30,78,69,67,48,73,76,66,59,54,67,72,81,66,71,63,89,68,77,70,75,65,66,68,70,69
Leandro Pereira,70,68,36,30,42,69,64,67,31,57,71,44,67,57,62,67,85,39,64,65,75,73,70,69,62,46,47,72,65,69
Grejohn Kyei,67,66,20,18,23,63,69,73,19,49,64,43,62,44,62,74,90,64,73,67,83,77,72,65,55,52,38,73,55,69
Albian Ajeti,67,63,35,17,19,66,66,70,16,55,74,53,59,53,69,62,74,74,72,71,81,68,74,72,58,59,41,56,68,69
Gabriele Moncini,68,66,37,30,33,57,68,70,32,55,65,46,66,50,76,69,66,64,72,73,73,70,69,72,64,60,53,68,66,69
Jordan Hugill,67,65,38,34,32,90,66,69,28,57,64,53,63,39,66,80,83,62,67,61,85,76,73,70,57,55,36,62,63,69
Gabriele Moncini,68,66,37,30,33,57,68,70,32,55,65,46,66,50,76,69,66,64,72,73,73,70,69,72,64,60,53,68,66,69
Jordan Hugill,67,65,38,34,32,90,66,69,28,57,64,53,63,39,66,80,83,62,67,61,85,76,73,70,57,55,36,62,63,69
Denilson,70,72,25,22,23,70,64,67,24,65,68,57,62,63,76,75,70,57,78,77,64,70,68,72,55,54,37,66,59,69
Scott Hogan,66,68,23,23,30,44,71,72,27,55,70,48,55,53,81,65,64,67,79,71,52,68,68,71,46,60,30,65,63,69
Cristian Menéndez,71,66,32,35,28,56,70,72,47,72,70,50,63,56,61,62,80,57,59,74,78,72,73,68,65,51,47,70,65,69
Humberto Osorio,66,65,28,29,32,31,66,65,37,66,58,40,66,55,60,58,75,71,65,72,68,75,72,75,58,57,63,71,59,69
Jair Reinoso,66,69,40,18,18,29,55,66,14,40,56,25,66,54,75,70,66,60,74,74,59,70,72,77,66,36,50,71,65,69
Ashley Fletcher,65,68,17,23,32,65,67,68,22,49,62,23,59,38,67,63,73,56,77,75,71,74,75,71,66,44,23,52,53,69
Dino Ndlovu,71,72,25,20,23,36,56,68,24,56,56,36,56,32,85,65,59,75,82,60,64,62,75,76,65,45,32,70,64,69
Sokol J.Diaz,69,67,48,23,32,47,64,72,30,55,50,57,62,55,65,69,80,36,64,36,53,73,73,69,69,56,47,58,69,69
Federico Andrada,67,66,22,19,24,46,66,69,27,68,65,58,63,59,73,73,72,65,76,72,73,60,78,71,77,61,67,66,61,69
Terrence Boyd,64,58,23,22,23,78,68,75,22,41,63,30,57,33,47,61,86,57,45,54,84,75,78,73,65,42,34,56,74,69
Rachid Alioui,70,69,41,12,20,49,67,72,37,67,69,58,69,46,63,56,67,43,67,67,74,67,67,71,69,63,74,55,61,69
Adam Taggart,74,66,30,32,34,55,66,69,45,65,75,59,66,55,82,76,72,64,83,82,65,63,70,67,68,68,55,62,72,69
Patric,63,63,17,21,30,67,61,71,39,53,63,43,56,51,61,57,88,36,63,53,63,85,73,69,63,59,55,73,66,69
Jaime Ayoví,69,70,41,28,37,47,66,70,40,62,64,54,60,58,50,70,83,44,68,56,78,72,68,72,67,49,54,65,67,69
Benik Afobe,67,65,31,17,22,60,66,69,25,64,66,46,65,52,69,60,82,65,73,71,77,64,68,71,64,65,57,72,67,69
Bashkim Kadrii,71,70,34,51,56,75,66,70,51,67,68,63,62,49,81,69,75,80,80,83,86,59,72,67,65,66,64,62,64,69
Anthony Ujah,65,68,20,23,29,58,70,69,38,52,71,48,60,53,62,54,75,66,61,66,92,79,78,70,62,54,43,67,59,69
Tom Bradshaw,69,63,30,31,24,42,69,73,20,46,66,45,63,45,78,85,71,81,78,84,80,69,64,72,62,38,37,70,63,69
Denis Alibec,71,71,35,40,43,86,62,67,33,69,65,59,66,59,64,63,85,57,64,63,61,60,78,68,70,73,70,69,69,69
Danny Ward,66,67,41,32,37,62,68,69,23,64,64,62,64,59,71,72,72,68,67,69,86,70,76,70,68,60,60,64,64,69
Marco Paixão,71,64,23,15,22,60,64,78,31,69,78,56,70,46,38,33,72,63,34,58,75,79,75,74,70,68,53,82,75,69
James Collins,67,65,41,32,37,72,68,72,36,60,69,43,63,50,61,81,85,53,61,67,84,72,71,68,59,61,45,72,66,69
Torgeir Børven,68,65,34,24,29,37,68,73,22,61,66,56,62,42,71,80,70,65,69,74,82,70,71,71,64,62,64,65,68,69
Christian Santos,68,65,40,33,37,58,65,72,22,65,71,59,65,65,59,71,78,57,64,68,74,71,69,69,68,74,71,78,73,69
Michael Smith,67,61,25,24,23,65,70,71,28,62,59,58,64,40,53,75,90,35,54,50,55,76,72,69,66,30,39,63,58,69
Lyle Taylor,70,68,40,35,35,50,69,75,31,63,72,53,59,45,67,69,75,49,78,74,35,60,66,72,56,48,67,79,63,69
Sebastián Ribas,68,64,35,14,21,57,57,70,20,57,59,42,53,40,57,63,82,45,65,64,78,75,79,70,67,67,64,70,68,69
Tomáš Pekhart,66,58,31,24,27,56,70,76,28,59,71,36,67,45,48,68,88,34,52,34,73,78,75,69,65,46,46,74,68,69
Rui Fonte,73,66,45,28,37,59,72,77,40,69,76,61,70,65,64,59,61,66,63,72,75,70,66,70,61,72,63,71,70,69
Lucas Barrios,69,67,35,43,40,70,65,74,40,65,72,56,64,61,58,62,74,46,55,64,67,73,75,72,64,69,50,69,66,69
Gary Hooper,70,64,24,25,29,59,65,71,23,65,75,62,65,56,50,51,76,63,59,64,63,72,75,74,67,57,52,73,70,69
Carmelo Valencia,65,67,40,40,38,50,70,73,43,59,70,57,64,43,72,66,59,72,78,67,62,63,72,74,64,59,50,69,65,69
Kei Kamara,65,67,44,18,23,68,69,69,34,64,68,64,66,51,60,70,77,64,73,66,90,75,72,70,62,60,42,72,66,69
Claudiu Keșerü,67,65,30,33,35,69,65,77,35,68,70,66,69,66,63,59,72,72,64,63,67,66,74,70,70,73,75,74,70,69
Steven Fletcher,70,66,34,14,22,56,68,70,36,66,73,55,63,60,49,55,77,65,52,65,81,79,76,71,64,36,33,74,71,69
Adam Le Fondre,69,67,24,23,25,61,71,71,34,66,73,65,63,51,66,79,70,78,62,71,80,66,73,74,63,66,53,85,70,69
Bartholomew Ogbeche,66,64,39,19,23,76,66,75,39,46,69,48,53,59,61,70,81,64,65,61,82,61,76,74,69,64,61,71,68,69
Fortune Bassey,68,61,15,17,15,53,57,70,20,70,73,59,63,58,75,77,68,63,75,71,76,68,72,72,68,74,44,52,65,68
Juan Godoy,61,68,22,35,38,45,73,75,30,38,53,45,55,45,65,69,72,78,64,66,70,61,66,74,75,58,59,70,67,68
Luciano Gondou,68,60,37,23,30,68,65,74,20,61,65,32,64,44,59,72,82,55,64,60,71,76,64,70,57,52,46,70,43,68
Mohamed Bouldini,68,66,18,18,15,58,66,66,31,53,68,40,63,55,75,73,71,65,78,68,60,66,69,69,63,42,44,67,53,68
Kevin Mina,61,65,15,13,14,35,66,65,18,48,50,55,67,61,65,68,85,40,70,68,70,66,70,75,61,38,55,71,61,68
Benjamin Dawa,70,68,42,35,42,62,62,61,32,61,67,55,66,52,71,69,80,52,80,67,73,71,69,69,64,59,56,61,64,68
Marvin Pieringer,71,64,26,23,25,60,65,68,22,51,62,45,62,39,61,68,76,55,63,67,49,67,70,70,61,52,39,62,64,68
Dario Vizinger,69,66,25,27,19,56,62,67,27,68,63,38,62,39,80,76,64,63,75,66,62,67,70,71,69,55,45,69,65,68
Junior Adamu,64,65,18,12,13,48,63,67,21,56,68,41,57,36,80,63,74,73,82,81,84,67,71,68,66,63,58,72,68,68
Dickson Abiama,66,69,24,16,14,39,65,69,17,44,61,39,49,30,81,69,68,68,83,68,62,63,66,71,64,59,30,62,53,68
Janis Antiste,72,68,15,14,15,31,59,65,14,50,68,35,63,45,83,64,61,56,82,76,73,64,71,71,62,57,40,69,65,68
Barbero,66,67,15,10,19,37,68,64,17,48,54,33,68,28,68,55,79,51,74,54,62,66,68,69,64,42,45,65,63,68
Astrit Selmani,66,63,26,31,22,87,63,69,29,65,66,49,63,45,69,81,80,63,72,66,80,63,72,71,64,56,49,70,61,68
Bartosz Białek,68,64,24,43,40,60,64,67,24,44,62,31,63,33,73,66,79,63,62,51,73,67,71,69,61,45,32,59,62,68
Jholvis Acevedo,67,67,37,36,38,54,61,62,22,62,62,59,62,61,68,80,78,61,75,62,66,70,65,75,67,63,56,64,63,68
Alejandro Cabeza,66,65,30,23,32,53,67,68,28,60,58,55,62,51,74,70,73,70,76,70,71,68,66,69,63,38,63,70,52,68
Gabriel Debeljuh,64,60,21,18,20,75,66,75,20,49,66,35,55,35,63,82,85,60,64,60,85,74,70,68,53,40,51,57,58,68
John Mary,68,65,15,12,17,31,65,68,13,59,55,29,62,49,75,62,83,43,68,61,71,75,66,67,67,64,48,56,51,68
Marius Noubissi,66,68,35,16,43,73,58,69,18,58,63,56,61,28,79,63,85,72,78,74,77,62,77,68,63,46,45,66,56,68
Roberto Piccoli,66,59,23,34,38,62,74,72,25,53,64,42,59,40,59,60,69,55,58,56,60,72,66,73,66,41,30,36,59,68
Vakoun Issouf Bayo,65,63,19,25,19,73,62,68,21,45,63,42,56,42,77,65,82,53,78,71,86,68,74,68,50,58,44,69,68,68
Anthony Uribe,68,66,13,15,15,35,60,70,13,47,67,37,51,39,78,73,80,65,75,68,56,60,71,73,61,48,55,70,52,68
Adam Bareiro,70,68,20,15,16,62,63,71,13,61,65,34,61,48,68,53,77,53,66,55,68,65,66,70,64,45,38,69,53,68
Ahmed Kutucu,66,70,35,53,45,71,64,67,30,53,62,55,63,54,81,63,71,68,76,75,63,61,78,67,64,61,66,58,64,68
Santiago Ormeño,60,62,19,29,29,54,65,67,20,51,67,31,57,37,59,61,82,53,54,61,65,72,73,75,67,41,35,73,69,68
Adam Idah,63,64,18,11,17,70,63,71,23,48,61,38,49,37,71,62,78,54,83,65,66,66,73,69,61,49,30,63,62,68
Brian White,67,66,22,43,47,59,70,70,48,55,60,44,57,45,75,74,74,71,75,76,74,68,65,70,57,54,42,62,53,68
Elvir Koljić,62,58,31,31,26,60,66,74,26,48,71,33,62,54,62,63,85,49,55,59,81,74,74,71,55,55,55,70,64,68
André Clóvis,65,67,24,20,19,32,65,69,14,59,63,45,63,57,67,64,73,59,69,59,70,69,66,70,63,53,43,68,62,68
Cory Burke,66,64,23,18,20,66,62,66,14,37,60,22,55,29,74,56,82,37,72,46,77,70,69,71,58,48,41,65,62,68
Dominik Martinović,68,70,19,16,12,32,62,68,19,65,58,42,63,41,77,81,69,80,82,76,82,61,72,70,62,51,43,70,67,68
Marcus Forss,63,64,23,50,48,72,68,72,34,52,65,32,54,35,74,64,69,72,74,60,66,62,73,72,59,38,28,70,64,68
Michael Estrada,63,70,14,17,23,76,62,60,16,51,60,28,68,51,76,54,80,52,76,71,71,78,64,70,43,30,30,66,65,68
Kaj Sierhuis,68,66,36,15,19,62,64,68,20,58,63,40,63,44,54,73,84,71,66,50,65,68,72,70,66,60,63,69,67,68
Pietro Pellegri,68,68,19,15,12,43,64,72,18,55,67,50,61,50,66,54,74,47,69,61,65,62,70,70,61,56,54,59,56,68
Haji Wright,65,66,20,18,20,38,60,67,12,53,69,52,58,41,71,69,90,45,81,63,70,59,72,72,60,51,34,64,56,68
Marc Heider,63,59,50,55,51,78,72,70,58,61,73,64,59,52,69,83,79,69,77,77,83,62,81,64,61,49,63,64,55,68
Steffen Tigges,59,57,39,38,42,74,67,70,38,55,63,59,63,48,53,75,87,42,61,45,59,76,75,69,57,42,28,55,63,68
Jan Mlakar,64,65,19,19,23,36,62,69,18,50,60,38,61,52,72,63,73,66,71,65,62,69,74,74,60,52,47,62,50,68
